hT6tQx3MFvA_000080,fox barking
_5pmDBFVnXg_000372,playing tennis
aHQExTl0xMw_000164,bouncing on trampoline
K_IJIHcx-Fc_000030,wind noise
Rbf9aLHxx80_000300,ocean burbling
z2ESJBCzWK4_000189,basketball bounce
9LmmQ5GYaT4_000040,canary calling
kIuvuBfqGpw_000048,spraying water
HV2vtdIzHqM_000101,vacuum cleaner cleaning floors
vwBwTG9VynM_000400,playing bagpipes
Slf4vZ8EVxo_000185,male singing
RwKUiSeSU6o_000320,playing saxophone
eWvnrMnPJI4_000315,playing clarinet
4XyxcaVwnbI_000003,plastic bottle crushing
i2zR26JOJLQ_000175,singing choir
YXtH5inWodg_000052,playing darts
dtGBMnR-GBY_000174,gibbon howling
dygv8tv8c-w_000078,playing cornet
Iyl-pY4zwQc_000046,yodelling
NOeVxWwelXo_000113,"cattle, bovinae cowbell"
9YhSZFbaXhg_000080,mouse pattering
kIsvcMz-p7A_000009,"vehicle horn, car horn, honking"
mYaPLfkJkcY_000034,elk bugling
zYn7tlhR3Yk_000028,playing bass guitar
Hk_jbsDmi7I_000096,strike lighter
cwblCNWMJYQ_000198,playing clarinet
2sZVqDELp3o_000167,dog howling
JIiMlCU-lAQ_000480,people clapping
3Sw-wO2jTSs_000051,smoke detector beeping
BE7IhNnKzZU_000230,people cheering
NP7XefeRXSM_000006,playing harmonica
E9mNmEQHqCI_000030,horse clip-clop
jjcEhwfAhFU_000060,cattle mooing
yc3fIWp6xxw_000230,playing saxophone
enooq0mIObw_000014,chimpanzee pant-hooting
IoxJ2xpiyTM_000043,fire crackling
kKIRfOktoZg_000027,rope skipping
9iq9LBSOJIo_000133,hammering nails
jfssagnT03I_000100,orchestra
hsaGiaXTS4g_000105,playing tabla
4uVzgXlMLzo_000080,chicken crowing
dty3dQ850dY_000203,police radio chatter
dYIOBieMZo4_000000,skidding
FF4AnFy2PSI_000001,horse neighing
Q0CKnIfTFYw_000207,playing bongo
1_xkQgQJec4_000030,playing electric guitar
3-S_AyVj1Ck_000070,train horning
FvLV-VvHDRM_000030,"race car, auto racing"
yZBxK8RXGHo_000024,planing timber
X-JZVzf6kQk_000030,fireworks banging
7IcToQN262c_000070,people babbling
x-FuExCGl7o_000190,fireworks banging
kFJ3yqsX0N0_000037,wind rustling leaves
OUNmw_33zuU_000162,playing glockenspiel
rUxV5XTraDs_000004,elephant trumpeting
j6f4pheXNDE_000108,tractor digging
DUVfuXWArGM_000030,playing drum kit
CJTjo79ZMOA_000130,ocean burbling
XOi-YX8NRR0_000029,tap dancing
heBbg2oU26o_000063,playing table tennis
iRxMyjEzDmY_000460,"railroad car, train wagon"
yEIp98L16NI_000029,playing harp
0-rrEzbcnnQ_000002,people sneezing
wBgF_zCFYJs_000020,helicopter
lxe9ZJIA96E_000092,civil defense siren
fAxjJ_9rAns_000494,tractor digging
61-D_C26KJE_000072,people shuffling
0vPyYkHOsOo_000030,female singing
ZRCPrIU1Zuw_000010,scuba diving
fYgEejP0o2o_000115,playing theremin
Pl_UFaYEfyc_000703,people eating
DddbIKMJSq0_000074,running electric fan
78-arh5x2_Q_000027,playing djembe
G6xEMomPpDA_000268,arc welding
v7toxxisuTQ_000011,playing volleyball
vGRhNaRWvzI_000001,francolin calling
BEgqW5aQz_4_000000,magpie calling
Bg7I_UV06A8_000030,orchestra
ZfgWvnl4zKU_000050,wood thrush calling
lW5HOrkgsTg_000030,"playing violin, fiddle"
p1c8r9iAdvk_000310,church bell ringing
nDxeKF-tQU8_000015,underwater bubbling
B6-k2OOqEbU_000030,stream burbling
xgf3qEkaCrw_000011,fire truck siren
Mwx0OC8Jnec_000530,people babbling
20lOSdiUEj4_000040,tractor digging
AIWr9UI83vk_000000,canary calling
FIpCyWCy9Qc_000030,"playing violin, fiddle"
g-CydtX7btM_000061,eagle screaming
jsx5LWHpFpM_000001,police radio chatter
eRBcl4vfgUE_000096,slot machine
AG-1ievLHDw_000414,playing volleyball
pDECI_9dwwE_000020,toilet flushing
KVE6i9Oq-qk_000000,rope skipping
hfloy__8cxY_000060,chicken crowing
TnKmJdo-q1U_000075,"fly, housefly buzzing"
u12V5yXKkgg_000020,bowling impact
JNvvIlcTIls_000350,"bee, wasp, etc. buzzing"
KaQmoNsM-08_000030,playing bass drum
wkoelcaGEJY_000007,rope skipping
P7CC0kC56_c_000049,police car (siren)
CF3riHN0lZQ_000064,civil defense siren
zw0jMCzEUnc_000092,people booing
K8XxgATCo2I_000110,playing table tennis
tm1mczAypbk_000000,lawn mowing
QUHg0tBZnDQ_000030,"donkey, ass braying"
72PASyRJ8es_000068,squishing water
EdMhmvhBD8k_000101,"playing steel guitar, slide guitar"
fUiGx2PLkM4_000020,"railroad car, train wagon"
n1mlYHyIkQE_000100,people whispering
HJ2vlYRTxkg_000218,dinosaurs bellowing
M6_yuMaYxFk_000120,playing piano
F_7BQEEgAsc_000085,playing harp
S1HWdjB8Nh8_000033,ice cracking
dT-u2IdC99E_000090,playing electronic organ
9u7flRLzMu0_000030,"playing marimba, xylophone"
YUWy4JUYlOk_000022,playing vibraphone
qyCGJ9LPhtk_000002,fire crackling
owUfyhMF4a4_000068,mynah bird singing
PoHp9UDAVjc_000080,"electric shaver, electric razor shaving"
XhpADUEf5ec_000065,cheetah chirrup
_vBo32q0M0w_000038,playing tambourine
Nzs_DFkcQHA_000060,playing double bass
UDk6RPEO8kk_000400,"playing marimba, xylophone"
HsUmSq6JuSY_000015,barn swallow calling
ywceZOCdRcs_000020,skidding
CKnfj-_ksxo_000030,people cheering
_OlZxmuIiLg_000063,playing mandolin
6RDHC1epWeE_000020,eating with cutlery
gEc3tvXtoAo_000038,fire truck siren
jGUqIU6u8Ew_000136,child singing
PQtOdeTpMro_000050,people belly laughing
tGw-y6n4ECc_000010,lions growling
_f-7q5uU30k_000019,dog growling
SdgRjRISDy4_000030,people sniggering
aBkkCX-C9R4_000060,"playing violin, fiddle"
MCCAaAso5VU_000087,cow lowing
qRkuIavXwek_000000,playing didgeridoo
te_LExXvKqY_000225,eagle screaming
eU81vDsYU3I_000154,people shuffling
KPWBYHLK-ac_000030,"rowboat, canoe, kayak rowing"
IdY7d2Y-QYE_000080,playing darts
D__R4eKEmUY_000017,"male speech, man speaking"
x543FqdJwJo_000231,horse clip-clop
O9_w3Tiumkg_000000,parrot talking
zkp6R5xcXNY_000050,playing bass guitar
M-dy71NNDMs_000211,ice cracking
cb1NeqQCZzI_000200,people burping
dykvSJHzvhA_000016,door slamming
GNYnS5chig4_000032,lathe spinning
BQ_BJNFGmTg_000016,playing tabla
g0iAYLtCLf0_000041,playing didgeridoo
3WfnUNL5TaI_000045,playing washboard
Dn5cGphFLjo_000011,pheasant crowing
c3-5yMpJwXE_000139,wood thrush calling
CejhQC9hUO8_000063,baby babbling
leWm5denvG0_000208,foghorn
9hnZZ5zJCCM_000003,playing squash
LhZAOIR90BM_000030,baby crying
5miYjd6zC1Y_000101,frog croaking
Wc8nQ4XzM4k_000000,"race car, auto racing"
fMIPxIiSuoI_000000,people hiccup
OP4mg83ynII_000240,ambulance siren
GcB0moY-9ho_000030,chainsawing trees
K3DkdwjQGNc_000217,bouncing on trampoline
SxgehzsVClg_000070,machine gun shooting
6ACv0-JWH80_000113,playing volleyball
KUuCxlW7Qtg_000047,playing glockenspiel
LBtvMXQacYc_000070,playing flute
KPz6YYhwq-s_000019,bouncing on trampoline
NDErx50Hm40_000100,"playing marimba, xylophone"
QD6FV5-WYCg_000030,"playing violin, fiddle"
8Lyd3urZLjQ_000060,"railroad car, train wagon"
ku9eWIV6GgY_000145,"playing marimba, xylophone"
mGiBIhDVDbo_000085,tap dancing
exKJmxDgVDo_000030,playing bass drum
8OEVmhTudcs_000041,playing zither
Wk-RErs6tvs_000170,playing synthesizer
U7lOo0KPX1g_000040,playing drum kit
5fP98MtePu0_000050,roller coaster running
A_6kDNMDF6g_000083,playing timpani
nDNv9NSTIQQ_000040,people hiccup
McDm0y4U3fA_000082,sea waves
eL0U5TKMlJw_000027,scuba diving
faKgOqVKwSs_000067,bull bellowing
OtY48GeOh5I_000117,cattle mooing
moymtl3YhRA_000150,volcano explosion
heMBt20pO20_000342,playing bagpipes
6bPi2s_0fXs_000041,lawn mowing
KP9O8fovWJA_000040,playing synthesizer
HdiusrvXuZk_000315,playing saxophone
SyA4-pOlERg_000030,ambulance siren
TqZLvNd1oaM_000020,people coughing
y3rErEMMQ2o_000096,playing bongo
wXU_-Ywib3I_000119,people eating noodle
aKyK1Xqdu8w_000053,fire truck siren
gZxAOb-8KqQ_000020,magpie calling
4h7HG8wLYdQ_000000,train wheels squealing
5ldlHAMOUhE_000030,"motorboat, speedboat acceleration"
lHRg4xWHWDs_000004,playing erhu
NgWyLlQsslo_000000,"ice cream truck, ice cream van"
FhInAl5eWog_000290,playing banjo
xgZwJIXr9N4_000025,playing timpani
s3XpZTnDUKA_000040,playing accordion
aqVcE_VxMPw_000001,coyote howling
JuAtG8ZT8tg_000057,mynah bird singing
CFw01uH8p4M_000050,wood thrush calling
PYJZY9Z3yfo_000204,golf driving
GvOpbl09LrE_000100,"male speech, man speaking"
WltaogYqCBw_000140,driving motorcycle
hvNVJmoghag_000100,basketball bounce
WvCLjiuYWrE_000019,metronome
GDotPfrIssQ_000003,mosquito buzzing
nDtXPATRfk0_000008,playing glockenspiel
g7Y1JPQpvlk_000030,"engine accelerating, revving, vroom"
YxG2Zh9YyJs_000093,playing guiro
rsE8CJYbc0U_000517,chopping wood
yrXz_A8SQBs_000000,waterfall burbling
x1ugtJEQ40A_000220,people farting
NanwUR2eAbQ_000060,playing double bass
NvjnM7oCy1A_000205,frog croaking
sRFfKmRLw4E_000085,ferret dooking
3zaNOlbJEIA_000024,playing erhu
G2US0V8KoJw_000093,fire truck siren
ltdoz8J8DMc_000230,splashing water
okkUw8_7BAY_000092,airplane flyby
HBWHKqS6Jys_000077,playing bassoon
oc_UOWmHnps_000389,canary calling
4s4Nh2B8miM_000030,"pigeon, dove cooing"
sa2nLSD1uoQ_000281,hair dryer drying
19AVwZhZJDw_000005,people burping
ccUGXqtRX2A_000016,playing glockenspiel
FBsEj2sz0qE_000125,magpie calling
SIilbRdyIDc_000160,basketball bounce
GzCHTz2wbag_000010,playing cymbal
5Fppoe0xrCc_000212,playing badminton
o-AwUFMQPAU_000082,blowtorch igniting
0_W0umzpsu8_000020,people whistling
Lo9XLgmlawI_000130,"railroad car, train wagon"
_9y5NFzbQU0_002572,"bird chirping, tweeting"
RqY7AihOjgM_000037,train wheels squealing
twrzO9wdBJI_000747,playing gong
0JUZ6RTxlTQ_000150,playing cello
kfnEbKrKKAE_000028,cutting hair with electric trimmers
NpQoHSKh9N0_000096,cat purring
MI2ybOGJzXo_000036,tap dancing
QsJtWhBGfo8_000225,playing oboe
oCjITL4aGv4_000002,turkey gobbling
Dk8dk3D6IYU_000030,people shuffling
SfbUDDPEOJo_000031,playing tambourine
hHIlL4L01Bk_000010,"child speech, kid speaking"
bs8_ekwRkh0_000030,mouse pattering
8ED2TBXHAcQ_000067,playing tabla
AE9ok9mxXxo_000133,people booing
BUJUTM3b_54_000000,volcano explosion
6t0Qqt0tBhU_000129,popping popcorn
3IwNbpyD0Qc_000125,canary calling
DAYV2Rx4cYA_000060,raining
BQoWzwgdVsQ_000090,playing hammond organ
yCB4gcWkirI_000013,people booing
KjutXRqbtmo_000490,"female speech, woman speaking"
aSzPZHOW3-E_000030,chicken crowing
Vv372UBBlr8_000420,frog croaking
wn9CVmPE4XE_000039,playing bassoon
IcZ1gMwxrZA_000160,people belly laughing
OXD8hdsxsTA_000084,playing vibraphone
A7QPVPzEVRQ_000011,playing trombone
TvHfmEh1pz4_000140,police radio chatter
BPxW7nP4loQ_000036,eagle screaming
rtpvgTL0yXw_000030,playing electric guitar
uURC7InX6iY_000267,playing clarinet
8S9NcwcdCao_000098,otter growling
WJIbHyRTOh8_000010,people sobbing
h8D7I5aAZEc_000070,playing trombone
b5xyypC5lnE_000080,playing trombone
heCXVPR-bG0_000056,lighting firecrackers
KCjd1Z1TmDo_000030,playing drum kit
ot06ogMCfhU_000057,playing table tennis
PRyCl-EuATM_000469,playing squash
xrzrLGHCRLE_000541,scuba diving
E6r1ASoy_gA_000099,mouse clicking
qUPiY-CcCnQ_000440,"alligators, crocodiles hissing"
5akr7t5rHpQ_000036,church bell ringing
fZLEf65YYyk_000060,playing saxophone
RI2crpgBLYw_000468,lathe spinning
6u4CR_i6pg4_000084,driving snowmobile
IMbrg9npgbA_000032,playing hammond organ
3T0-l_fPCkM_000209,electric grinder grinding
XMGN-RPGX28_000055,playing didgeridoo
m2ObpqNS1dQ_000009,"cattle, bovinae cowbell"
eZbhvcBTzcw_000006,sheep bleating
4CLdBwlj4-o_000029,cupboard opening or closing
vHteI9hp9z4_000450,playing piano
oNrQdFx4_V0_000007,frog croaking
lv4c-4h8V6I_000065,mynah bird singing
RTfIJgpMsMM_000189,electric grinder grinding
Vyt0_mFkMU4_000015,playing tabla
l7rarxG2gto_000065,playing squash
9HHB-CubOOQ_000130,playing bugle
MoS8-mVelV4_000440,driving snowmobile
m_-U8BsjbkE_000013,typing on typewriter
iuCNian_-H8_000000,playing didgeridoo
_pul8X1-TiU_000075,firing muskets
2DM5aKUgAC4_000520,bowling impact
1wr4uv7UUUQ_000010,car engine knocking
wtcvMEp09m8_000010,people sobbing
yfBjLSohp9Q_000000,skateboarding
2uPG28ye2Vw_000021,duck quacking
0NecAFJWmLY_000063,lions roaring
ZD2npEYoZHo_000401,shot football
rYi-3U91i_s_000080,playing drum kit
bi2h4ZpMih8_000063,cap gun shooting
BzjPU48ihwQ_000015,dog bow-wow
ldF2EJCVY3g_000147,playing theremin
WKcnNQe5xr0_000090,dog bow-wow
pdD1wEmAFGw_000216,police radio chatter
B5YWzX6wkpg_000027,skidding
XPMTZb6hJx8_000020,toilet flushing
RH7IVn9jk6k_000024,machine gun shooting
CtlUCtnaqwg_000030,gibbon howling
A_kpEvj4bLE_000016,hail
rnSEFgXPzfA_000000,"race car, auto racing"
3TlhdC5a4kc_000087,cat purring
is6hIqHBndU_000030,wind noise
dm-AAiDSLjk_000065,people marching
d-adbXZYHxI_000006,lions roaring
WYvMJrPzjY4_000085,playing guiro
RsVY2lbt0MM_000258,canary calling
Jjchz6Ip-U0_000140,splashing water
91LIoOcQO1U_000217,"ice cream truck, ice cream van"
0dSVtzvBZ3g_000018,wind rustling leaves
8nEjzRUir4c_000004,hair dryer drying
DWGf-Uanj9c_000017,warbler chirping
s_P31VzoGgk_000100,playing hockey
hW1gyGe0OTY_000072,singing bowl
uavjHo6YXWY_000080,playing flute
civrS6FiynQ_000029,playing volleyball
Tvyq_E5c8oM_000030,"engine accelerating, revving, vroom"
U5DCbpeufg0_000489,"heart sounds, heartbeat"
Wn7q26-issQ_000091,playing table tennis
qPc5M3KWls4_000543,singing choir
d-Q3T--Os5I_000010,people sobbing
ttdL4-GVCVM_000298,hedge trimmer running
sVg5DgSeVSg_000004,vacuum cleaner cleaning floors
VlmBpm3CucE_000172,child singing
dagj5ajV5js_000030,playing clarinet
pm49-8jN6uk_000020,playing banjo
Ke7ITeAhCSE_000030,church bell ringing
zAPZ6CaxqJI_000050,driving motorcycle
Ul72XEBbPns_000370,bowling impact
BvjD_JVWcDU_000091,cuckoo bird calling
T7v9k36y_4w_000046,ferret dooking
zvFmP7Mqdyo_000045,coyote howling
ZlM8wCQoE04_000040,"female speech, woman speaking"
21pdSmyFnQ4_000093,playing double bass
hKABvMBDv24_000410,fireworks banging
PxHW7S9qBkw_000032,lighting firecrackers
AL7W-4gdscY_000013,"vehicle horn, car horn, honking"
Qs3bNaNpm2s_000072,chimpanzee pant-hooting
7PARSWINgOs_000092,playing tabla
2Iln7mu732o_000017,people sneezing
nK6I4-hqFQw_000021,playing bongo
79QeFFUfLpg_000036,police radio chatter
32_g6kD2EtE_000015,playing tabla
1P8TREx-Ct8_000000,police car (siren)
YXFcsZYysSE_000010,fireworks banging
zlpu_UXFZ-8_000027,volcano explosion
CPhwEWDWxZY_000133,playing flute
3fWAM5uHzGQ_000040,people whispering
070l31Phzzg_000001,"donkey, ass braying"
Vqb3uiX6sFQ_000079,civil defense siren
Gv2hc6JP-5k_000030,"playing violin, fiddle"
zCgUuKPj684_000230,ambulance siren
13J_WcKx3Qo_000060,ambulance siren
oiC0Jrwoiq4_000003,playing didgeridoo
53PXHBXZqYc_000001,sloshing water
D6kihlmvAfQ_000053,playing mandolin
mrswvofDhMM_000025,playing sitar
zcDPnHqkZj4_000020,fire crackling
yhSVuYbQbe0_000063,playing cornet
V6Vewad_UKY_000054,playing bass drum
g6h39Aun_Q0_000147,lathe spinning
FAod0ddutuc_000030,sloshing water
Xy2q26K3h8k_000079,gibbon howling
i2bRsEWFei8_000182,playing timpani
MHkzwO3GKw8_000020,playing harp
HUoClhZEwNA_000455,playing darts
zr_D1m53dh4_000729,rapping
8xKG_E_QWk4_000053,strike lighter
c9ztn8f7a08_000000,horse neighing
wSdjlAkz1i8_000090,helicopter
6qd9k3G83fc_000226,playing cornet
7a-fZyYjwKc_000070,playing bagpipes
3yyAHDxkpc4_000011,"vehicle horn, car horn, honking"
dIQGScA0Gv0_000030,playing cello
Rifu8nB2cCs_000043,cat purring
qRU7kcB_3nU_000070,chainsawing trees
5qwLmel-J5c_000139,elk bugling
M_ItZFTXuWw_000010,people babbling
6kdiESHOO3w_000030,cat meowing
FdXUNTI0Ez4_000126,people gargling
i7huxMOd_II_000106,playing djembe
RDYQ_5IBuOU_000060,playing cymbal
ZklHOpzxy58_000102,people humming
5eOhd6g0Kxw_000030,baby laughter
frqZ2On2ZUI_000087,people cheering
aY8co28193o_000026,woodpecker pecking tree
hzeDLtVTCao_000166,crow cawing
ee3fmUVTpHA_000109,cat purring
HMfiK6CBa3c_000010,"female speech, woman speaking"
XTC1omkLAQM_000443,mouse squeaking
6wcMsULrfQ8_000017,chimpanzee pant-hooting
W1S58jcY5kY_000208,playing bassoon
wiaTpTTRXuU_000022,cattle mooing
zDk9-lKZcaA_000100,driving buses
7InArlhOM3k_000300,playing banjo
RofhA_Pg66g_000130,slot machine
P-yKe9mOK5M_000076,ripping paper
5Z-Pu-cndvk_000002,hail
BhAWH3FksVk_000000,car passing by
R3x2FDQc8iw_000015,fire truck siren
t-YSdILMKvo_000645,people eating
kWbPkqDyJ10_000176,elephant trumpeting
5dLNrbAcQz8_000000,people farting
5_sei4Da8G4_000000,opening or closing car doors
55bGnVpdr9w_000030,"male speech, man speaking"
zdPLclTR__U_000010,"female speech, woman speaking"
l9Qc0Ey44eQ_000120,chicken clucking
tR5GssruC44_000197,playing badminton
A1tQmvh2v4k_000000,playing glockenspiel
8hSEus9jvHc_000171,baby babbling
F_OXzSqgq38_000179,spraying water
osRTfBZHNFQ_000030,"race car, auto racing"
GPp_6vgE4pQ_000030,driving buses
z9GBw5IfS-o_000030,printer printing
6ZH7vq_GLnc_000251,rope skipping
a5Q7INQ08xo_000125,playing timbales
po90aebarqU_000460,machine gun shooting
hc9aQ8VL9o0_000158,"playing steel guitar, slide guitar"
LNvl_agBqXI_000150,playing bass guitar
uIHnphQWVRA_000169,opening or closing drawers
dCzNkdntuvQ_000072,playing tennis
h_DRcCkmaf4_000030,lawn mowing
XSOZpqDt1oE_000003,baby laughter
vjw8iaJ8XgU_000035,playing synthesizer
iVZoFO-dwN4_000002,"electric shaver, electric razor shaving"
arbXYSHjvaY_000080,toilet flushing
_vBo32q0M0w_000050,playing tambourine
PWzVmJBBB0M_000038,driving snowmobile
_zB2Qq1Sb-M_000274,church bell ringing
W1c6epVjvq4_000060,playing drum kit
aPfTldlfdAw_000012,people burping
KIef6zLWZaQ_000017,"bird chirping, tweeting"
xXaVc4YqBNI_000018,playing bongo
lU4PthjlKTY_000082,playing tambourine
1Q6VNmj4bwI_000020,people sniggering
